HOUR,TOTALLOAD,COAL,HYDRO,NATURALGAS,NGPRICE,NUCLEAR,OTHER,PETROLEUM,SOLAR,WIND,PRICE
0,41.13982,0.018,1.898,15.96,5.1509374999999995,2.249,-0.027,0.087,10.427,0.802,81.37716106710933
1,38.545190000000005,0.019,2.851,17.286,5.1775,2.249,-0.015,0.087,10.44,1.016,75.36186535164894
2,35.2593,0.018,3.283,19.264,5.2040625,2.251,0.001,0.087,9.301,1.115,78.6221874074718
3,32.00766,0.017,3.514,21.401,5.230625,2.253,-0.082,0.086,8.38,1.214,75.89398148989775
4,29.47751,0.018,3.833,22.649,5.2571875,2.252,0.019,0.087,7.987,1.274,74.65950969562299
5,27.72376,0.017,4.265,23.349,5.2837499999999995,2.245,-0.002,0.086,6.032,1.531,80.43868458398758
6,26.5087,0.016,4.42,24.869,5.3103125,2.245,0.086,0.087,3.093,1.542,82.6433832234801
7,25.81471,0.016,4.55,24.744,5.336875,2.247,0.081,0.087,0.332,1.6,78.83893137888563
8,25.79467,0.017,4.38,24.018,5.3634375,2.249,-0.106,0.087,-0.042,1.703,69.35420965357173
9,26.72,0.016,4.192,21.201,5.39,2.25,0.017,0.083,-0.039,1.761,52.86173734599027
10,28.33477,0.016,3.399,19.032,5.4165624999999995,2.25,-0.016,0.083,-0.039,1.47,45.35755172115109
11,29.53362,0.015,2.546,16.103,5.443125,2.248,0.0,0.08,-0.04,1.685,41.360660018412446
12,30.62267,0.015,1.831,13.401,5.4696875,2.249,-0.009,0.081,-0.039,1.566,33.77849639006461
13,31.72327,0.015,1.381,12.176,5.49625,2.25,-0.015,0.081,-0.039,1.636,27.605999012578792
14,33.29976,0.014,1.337,11.144,5.5228125,2.25,-0.016,0.081,-0.038,1.621,36.90575480979725
15,35.26063,0.013,0.927,10.948,5.5493749999999995,2.253,-0.038,0.081,-0.038,1.664,61.02786404214733
16,37.47363,0.014,0.927,10.807,5.5759375,2.251,-0.058,0.081,-0.039,1.724,84.39784678059124
17,39.81357,0.014,1.085,11.322,5.6025,2.249,-0.032,0.082,-0.04,2.028,95.43097304344992
18,41.740199999999994,0.017,1.573,12.243,5.6290625,2.245,-0.017,0.081,-0.043,1.815,94.8380689408046
19,43.4271,0.015,1.76,12.437,5.655625,2.246,0.008,0.082,1.088,1.47,93.27001073535382
20,44.15671,0.015,0.967,12.13,5.6821875,2.247,-0.158,0.083,5.411,1.32,93.0027208518325
21,44.521730000000005,0.015,0.909,11.547,5.70875,2.245,-0.051,0.082,8.036,1.323,86.32163637514024
22,43.87243,0.014,1.336,11.753,5.7353125,2.245,-0.123,0.082,9.557,1.178,77.08211491787024
23,42.24548,0.016,1.481,12.06,5.761875,2.245,-0.018,0.083,10.281,1.096,73.50271141141046
24,40.92292,0.015,1.751,14.242,5.7884375,2.247,-0.016,0.084,10.37,1.213,69.79699848712674
25,38.51577,0.015,2.166,16.208,5.815,2.248,0.001,0.084,10.508,1.148,71.63893470703069
26,35.07493,0.015,2.772,17.582,5.8415625,2.248,-0.003,0.086,10.335,1.367,65.64611614416138
27,31.88284,0.014,3.308,18.391,5.868125,2.248,-0.003,0.085,9.982,1.683,70.68307441624
28,29.86013,0.013,3.6,19.76,5.8946875,2.249,-0.019,0.082,9.151,1.948,70.93159643097223
29,27.96954,0.015,4.353,20.796,5.921250000000001,2.248,0.005,0.087,7.498,1.916,86.90642987962156
30,26.65993,0.015,4.671,22.483,5.9478125,2.247,0.065,0.087,3.953,2.17,103.39167738815588
31,25.90155,0.016,4.734,23.059,5.974375,2.249,0.087,0.087,0.371,2.228,103.87036876716732
32,25.84452,0.014,4.571,21.951,6.0009375,2.248,-0.073,0.088,-0.02,2.21,95.65090035544009
33,26.69968,0.016,3.906,19.316,6.0275,2.248,-0.001,0.087,-0.039,2.446,76.77811973344282
34,28.0247,0.015,3.236,16.767,6.054062500000001,2.247,-0.002,0.087,-0.039,2.696,72.62062157832318
35,29.44094,0.016,2.965,14.283,6.080625,2.25,-0.03,0.088,-0.038,2.384,65.54275445970936
36,31.039669999999997,0.015,1.941,12.689,6.1071875,2.249,-0.009,0.088,-0.038,2.166,64.2437854172361
37,32.169380000000004,0.016,1.558,11.178,6.13375,2.251,-0.034,0.088,-0.039,2.13,65.33544978513488
38,33.71426,0.016,1.578,10.038,6.1603125,2.251,-0.028,0.088,-0.039,2.045,71.97321314876677
39,35.41522,0.016,1.103,9.771,6.186875000000001,2.255,-0.043,0.088,-0.038,1.911,86.38718550979004
40,37.47224,0.016,1.144,9.293,6.2134375,2.254,-0.026,0.088,-0.039,1.758,107.55343845152557
41,39.50396,0.016,1.335,9.751,6.24,2.255,-0.006,0.088,-0.04,1.767,170.15820451801162
42,41.71603,0.013,1.902,10.518,6.24,2.256,-0.016,0.087,-0.044,1.826,121.62623974643448
43,43.31767,0.012,1.555,11.718,6.24,2.257,-0.005,0.087,1.306,1.471,112.6185208455654
44,44.212019999999995,0.011,1.376,10.371,6.24,2.258,-0.027,0.088,5.629,1.27,103.9010949240344
45,44.65173,0.011,1.166,10.605,6.24,2.257,-0.014,0.087,8.523,1.171,100.87199411894204
46,43.98493,0.01,1.039,10.93,6.24,2.256,-0.022,0.087,9.588,0.968,92.06202987091852
47,42.4418,0.011,1.344,11.582,6.24,2.255,0.018,0.087,10.161,0.964,84.7766089467286
48,41.18738,0.011,1.411,13.328,6.24,2.255,-0.004,0.087,9.741,1.187,74.02051635767701
49,38.776230000000005,0.011,1.866,15.176,6.24,2.257,0.01,0.087,9.798,1.266,72.16947301560255
50,35.23353,0.011,2.333,16.428,6.24,2.257,0.104,0.088,9.791,1.496,70.59931103724917
