HOUR,TOTALLOAD,PRICE,WIND,SOLAR
0,47.78915306860758,30781.14745586708,0.452,0.0
1,47.423625124717226,29654.816978193143,0.4658,0.0
2,47.26052563076615,28694.666407061268,0.4525,0.0
3,47.4930291646964,28934.70404984424,0.4052,0.0
4,47.959192966556586,29063.95508826584,0.3866,0.0
5,49.15641265619747,30614.967549325025,0.3525,0.0
6,50.25878015786681,31095.042834890966,0.344,0.0
7,50.71337661973045,33790.85020768432,0.3205,0.0107
8,50.63471870775405,42635.31412253375,0.312,0.2321
9,50.4831865537995,37483.73701973001,0.3375,0.4121
10,49.99388807194626,31427.40264797508,0.3589,0.4914
11,49.19227141018671,30855.005192108,0.3455,0.4923
12,48.10609818451251,29433.24376947041,0.2969,0.5097
13,46.9956335448456,27457.54932502596,0.2611,0.442
14,46.23681604107321,27069.796209761163,0.2097,0.4566
15,46.05752227112699,26829.7585669782,0.162,0.4338
16,47.37388556273215,31113.507268951194,0.1155,0.1477
17,50.43923066181269,59382.55581516096,0.1065,0.0001
18,51.192264495586805,60490.42185877466,0.1194,0.0
19,50.76774311771415,46605.16744548287,0.1116,0.0
20,50.40452864182309,46383.59423676013,0.1198,0.0
21,49.57515036407187,39071.678348909656,0.1154,0.0
22,47.961506434555886,33033.80841121495,0.1493,0.0
23,46.27730173106107,32849.16407061267,0.1428,0.0
24,45.23508439737368,37834.56126687435,0.1139,0.0
25,44.47973709560026,30928.86292834891,0.0905,0.0
26,44.19749399968492,30799.61188992731,0.09,0.0
27,44.49361790359609,31224.293873312567,0.1114,0.0
28,45.44098304931192,31039.64953271028,0.1004,0.0
29,47.10205307281368,35471.11370716511,0.0937,0.0
30,49.05114986222904,52107.56879543095,0.1105,0.0
31,50.3698266218335,55394.23805815161,0.1268,0.0124
32,50.30042258185431,55191.1292834891,0.1485,0.3901
33,48.82790020029601,33476.95482866044,0.121,0.6015
34,46.82559364689661,35249.540498442366,0.1709,0.6243
35,44.77123406351282,31575.118120456907,0.2292,0.6077
36,43.03960326603223,30559.57424714434,0.2801,0.6057
37,41.288307990557534,27217.511682242988,0.3031,0.6323
38,40.23915025287223,24964.85072689512,0.317,0.6345
39,39.896756988974936,23524.6248701973,0.3153,0.623
40,40.80594991270222,25666.499221183803,0.3054,0.2695
41,44.77123406351282,33587.74143302181,0.3883,0.0004
42,46.57920930497051,32184.444444444445,0.4678,0.0
43,47.147165698800144,30411.85877466252,0.5115,0.0
44,47.59829195866483,29045.49065420561,0.5324,0.0
45,46.96555846085462,29211.670560747665,0.5232,0.0
46,46.10726183311207,29248.59942886812,0.5124,0.0
47,44.88343726147916,27125.18951194185,0.5295,0.0
48,44.08182059971961,25204.88836967809,0.5301,0.0
49,43.78685342980808,25038.70846313604,0.5211,0.0
50,44.02745410173592,24780.20638629284,0.537,0.0
51,44.424213863616906,25057.172897196266,0.5439,0.0
52,45.40165409332372,25518.78374870197,0.5305,0.0
53,46.60581418696253,28454.6287642783,0.5135,0.0
54,48.34554212244069,30762.683021806854,0.5085,0.0
55,49.13674817820336,34215.53219106958,0.4996,0.0202
56,48.01124599654096,34880.2518172378,0.4267,0.4268
57,45.81229466320056,33347.70379023884,0.307,0.6297
58,43.58326824586916,31519.72481827622,0.2328,0.6299
59,41.98234839034936,29248.59942886812,0.1932,0.6126
60,40.24956085886911,28953.168483904465,0.163,0.6091
61,39.2917851071564,27789.90913811008,0.1325,0.6316
62,38.34673342943987,26238.896677050885,0.1148,0.6454
63,38.49363864739581,26201.967808930425,0.1083,0.6128
64,39.164544367194566,30541.10981308412,0.1063,0.1748
65,42.45082566020884,45238.79932502596,0.1418,0.0005
66,43.58673844786812,38979.35617860852,0.2205,0.0
67,43.614500063859786,34178.603322949115,0.3009,0.0
68,43.259382725966304,31999.80010384216,0.3763,0.0
69,42.405713034222366,31796.691329179648,0.4161,0.0
70,40.729605468725126,29359.386033229493,0.434,0.0
71,39.47339234510192,26626.64979231569,0.4512,0.0
72,38.7400229893219,26977.474039460023,0.4507,0.0
73,38.78282214730907,25703.42808930426,0.4356,0.0
74,38.882301271279225,25740.35695742472,0.4277,0.0
75,39.87362230898188,25703.42808930426,0.4338,0.0
76,41.76025546241598,26792.829698857742,0.4415,0.0
77,45.112470593410464,29525.56593977155,0.4555,0.0
78,49.17492040019192,51350.52699896158,0.4641,0.0
79,50.32702746384634,49171.72377985462,0.4144,0.012
80,48.84872141228976,37280.6282450675,0.3594,0.4263
81,46.79783203090493,30393.394340602285,0.3028,0.6359
82,45.097433051414974,30134.892263759088,0.2771,0.6122
83,43.81924198179838,28251.519989615783,0.2555,0.6078
84,43.17494114399163,28048.41121495327,0.2413,0.6025
85,42.498251754194605,27937.6246105919,0.1999,0.6303
86,42.29235310225637,27697.586967808933,0.1641,0.6577
87,42.04943896232923,27088.260643821395,0.1351,0.626
88,41.99391573034588,31501.26038421599,0.1086,0.2788
89,44.76082345751595,57166.82372793354,0.1061,0.0005
90,45.246651737370215,55523.489096573205,0.1125,0.0
91,44.72612143752635,37409.8792834891,0.1024,0.0
92,43.77528608981156,37816.09683281413,0.1031,0.0
93,42.210224988281,33144.59501557633,0.1093,0.0
94,40.13735766090277,31021.18509865005,0.1228,0.0
95,38.41151053342044,30208.75,0.1406,0.0
96,37.62030447765777,29433.24376947041,0.1437,0.0
97,37.24667939576984,28713.130841121496,0.1441,0.0
98,37.68739504963765,29045.49065420561,0.1478,0.0
99,38.47975783939997,28602.344236760127,0.153,0.0
100,40.67292550274212,29470.172637590866,0.1721,0.0
101,44.3825714396294,34824.85851505712,0.1844,0.0
102,48.58614279436852,63315.48026998962,0.206,0.0
103,49.369251712133625,54914.16277258567,0.2721,0.015
104,48.24374953047122,34732.53634475597,0.3098,0.3643
105,46.67521822694171,33735.45690550363,0.2662,0.5382
106,45.218890121378536,32055.193406022845,0.3075,0.5574
107,44.303913527653,28269.98442367601,0.3577,0.5523
108,43.29061454395693,28269.98442367601,0.3841,0.5771
109,42.598887612164425,27439.08489096573,0.4425,0.5593
110,42.05984956832611,26423.54101765317,0.4753,0.4578
111,42.1315670763046,25814.214693665628,0.4805,0.3575
112,42.3039204422529,29340.921599169265,0.4634,0.0968
113,45.27325661936224,44426.36422637591,0.5422,0.0001
114,45.84931015118944,34012.423416407066,0.6328,0.0
115,45.2813537573598,31962.871235721705,0.6676,0.0
116,44.05521571772759,31778.22689511942,0.6648,0.0
117,42.18130663828968,28454.6287642783,0.6707,0.0
118,39.58212534106931,26718.97196261682,0.6446,0.0
119,37.57403511767165,17505.219366562826,0.6277,0.0
120,36.27617957006095,8162.215732087228,0.598,0.0
121,35.195790014385004,6925.098650051921,0.5729,0.0
122,34.85802368648633,6758.918743509865,0.5597,0.0
123,34.98989136244677,8439.182242990653,0.5575,0.0
124,36.464727212004384,9565.512720664592,0.5805,0.0
125,39.10439419921261,17542.14823468328,0.6164,0.0
126,42.48552768019842,29765.60358255452,0.6367,0.0
127,43.18766521798782,29839.46131879543,0.642,0.0073
128,43.74636773982023,28380.771028037383,0.6047,0.2811
129,44.670598205543,27568.335929387333,0.6518,0.1819
130,44.87649685748124,25260.28167185877,0.6613,0.1885
131,44.86955645348332,20514.922118380066,0.6412,0.2069
132,44.57921621957041,20625.70872274144,0.652,0.1966
133,44.064469589724816,21678.181464174457,0.6448,0.198
134,43.77875629181052,21124.248442367603,0.6431,0.1965
135,44.31663760164918,20293.34890965732,0.6639,0.1639
136,45.320682713348006,28694.666407061268,0.6612,0.1978
137,47.3357133407436,48340.82424714434,0.5833,0.001
138,47.67926333864055,49171.72377985462,0.5925,0.0
139,46.966715194854274,39385.57372793354,0.6056,0.0
140,45.99737210314503,42690.707424714434,0.5989,0.0
141,44.12114955570781,37354.48598130841,0.5846,0.0
142,42.04481202633062,29137.81282450675,0.5853,0.0
143,40.12463358690658,29617.88811007269,0.5588,0.0
144,39.2744340971616,14144.692367601245,0.5257,0.0
145,39.13099908120463,11448.884994807891,0.5257,0.0
146,39.12984234720498,13092.219626168226,0.5069,0.0
147,39.77645665301102,18520.763239875392,0.4666,0.0
148,41.888652936377454,25371.068276220147,0.4344,0.0
149,45.42247530531748,32018.26453790239,0.4175,0.0
150,49.57630709807152,44924.90394600208,0.3944,0.0
151,50.70065254573427,46549.77414330218,0.359,0.0158
152,50.09683739791539,42709.171858774665,0.2746,0.4199
153,49.15178572019886,34215.53219106958,0.2103,0.6812
154,48.08065003652015,32849.16407061267,0.1905,0.6748
155,47.12634448680639,30504.180944963657,0.1653,0.6511
156,46.07140307912282,29544.03037383177,0.1482,0.6502
157,45.38314634932927,29340.921599169265,0.136,0.678
158,44.7053002255326,29137.81282450675,0.1161,0.7089
159,44.7053002255326,29544.03037383177,0.0941,0.6827
160,45.84815341718979,32904.55737279335,0.0762,0.3207
161,48.2518466684688,74985.002596054,0.0843,0.0007
162,49.40742393412218,73452.45456905503,0.1298,0.0
163,49.32413908614716,46106.6277258567,0.1706,0.0
164,48.56647831637442,41527.44807892004,0.2111,0.0
165,46.947050716860176,35341.86266874351,0.2352,0.0
166,44.81634668949928,32849.16407061267,0.2658,0.0
167,43.13445545400377,33273.84605399793,0.2572,0.0
168,42.33515226024353,31261.222741433023,0.2503,0.0
169,42.002012868343456,30725.7541536864,0.2282,0.0
170,42.20097111628378,30965.79179646937,0.2272,0.0
171,42.99796084204472,31427.40264797508,0.2166,0.0
172,45.04538002143059,32461.41095534787,0.2024,0.0
173,48.48897713839767,38166.92107995846,0.2362,0.0
174,52.48317963919959,83718.67990654206,0.2304,0.0
175,53.67924259484082,82980.10254413291,0.2265,0.012
176,52.86952879508371,70701.25389408099,0.1913,0.2412
177,52.02511297533699,52310.67757009346,0.1816,0.384
178,51.42476802951707,43577.0002596054,0.1366,0.4414
179,50.044784367931,36265.08437175493,0.0785,0.5179
180,48.170875288493086,32498.339823468326,0.0562,0.5461
181,46.71107698093096,30762.683021806854,0.0475,0.5497
182,45.27557008736154,30264.143302180688,0.0533,0.5946
183,44.97019231145314,30061.03452751817,0.0618,0.5353
184,45.51038708929111,33421.56152647975,0.0655,0.2831
185,49.53119447208505,56114.35098650052,0.0792,0.0013
186,50.716846821729405,51572.10020768432,0.1139,0.0027
187,50.99446298164614,40918.1217549325,0.1352,0.0
188,50.5988599537648,39256.32268951194,0.1453,0.0
189,49.936051371963615,38203.84994807892,0.1434,0.0
190,48.78394430830919,35064.896157840085,0.1457,0.0
