HOUR,TOTALLOAD,NGPRICE,SOLAR,WIND,PRICE
0,50567.06968,5.1509375,0.0,1158.024781,27.18
1,50617.08798,5.1775,0.0,1132.024685,25.52
2,50694.30009,5.2040625,0.0,1134.006796,25.75
3,50999.59169,5.230625,0.0,1143.14404,26.76
4,51723.73202,5.2571875,0.0,1119.080562,28.07
5,52955.63426,5.28375,0.0,1093.352751,30.89
6,54303.08218,5.3103125,0.0,1046.838845,36.31
7,55099.26744,5.336875,0.12154425,988.878636,40.51
8,55553.88721,5.3634375,13.57315775,903.7178242,58.49
9,56070.39046,5.39,45.443623,841.5746972,63.78
10,55948.92352,5.4165625,72.201293,754.9057528,55.53
11,55277.73031,5.443125,110.4360877,635.945536,40.9
12,54097.79947,5.4696875,142.236628,509.3700345,37.15
13,52638.07541,5.49625,168.1720685,521.9548862,34.33
14,51448.20072,5.5228125,173.2848945,553.7446677,33.68
15,50789.64132,5.549375,159.5091828,521.325605,32.53
16,51352.31578,5.5759375,122.0877637,472.1122023,34.77
17,54211.99588,5.6025,21.500433,421.432025,53.82
18,57004.47628,5.6290625,0.0,473.4793053,66.19
19,57297.39945,5.655625,0.0,550.5414718,61.45
20,57246.95656,5.6821875,0.0,637.4076878,54.56
21,56339.31002,5.70875,0.0,739.6309817,43.43
22,54402.04123,5.7353125,0.0,857.759314,41.68
23,52550.80369,5.761875,0.0,889.341213,35.75
24,51180.17031,5.7884375,0.0,847.4408015,36.03
25,50492.67068,5.815,0.0,781.1258347,32.24
26,50220.57629,5.8415625,0.0,780.553745,33.11
27,50376.20198,5.868125,0.0,742.7783752,35.53
28,51246.18297,5.8946875,0.0,694.2725582,48.61
29,53359.28912,5.921250000000001,0.0,619.8105767,55.0
30,56175.63306,5.9478125,0.0,554.4038443,169.16
31,57805.27311,5.974375,0.0671825,531.534926,191.56
32,58347.53961,6.0009375,9.40970675,502.5649715,120.31
33,58976.88051,6.0275,33.82748725,447.7829868,99.6
34,59169.75344,6.054062500000001,50.2134995,424.6611815,67.63
35,58728.06836,6.080625,68.9088545,412.5534402,52.88
36,57943.43934,6.1071875,81.97509475,445.421543,43.27
37,57341.89343,6.13375,72.169913,476.4235855,38.56
38,56978.44408,6.1603125,66.76475075,550.1958818,36.82
39,57030.79318,6.186875000000001,57.753273,643.1573205,37.22
40,57885.45889,6.2134375,38.92556575,730.594054,42.76
41,60183.75054,6.24,7.63131725,789.9659605,83.84
42,61948.67944,6.24,0.0,866.2097035,105.59
43,61781.61366,6.24,0.0,874.0992492,77.09
44,61125.41192,6.24,0.0,902.1166332,70.16
45,59549.12311,6.24,0.0,1046.90167,52.42
46,56984.7131,6.24,0.0,1296.395059,46.45
47,54990.74437,6.24,0.0,1543.722436,38.1
48,53932.17519,6.24,0.0,1813.673402,33.06
49,53706.42586,6.24,0.0,1965.173897,31.59
50,53907.18388,6.24,0.0,2084.159447,31.37
51,54627.44681,6.24,0.0,2134.718376,32.14
52,55927.53652,6.24,0.0,2125.565415,44.72
53,58500.38652,6.24,0.0,2111.922373,52.47
54,61855.51555,6.24,0.0,2123.197003,108.53
55,62889.9725,6.24,0.72488375,2162.317514,100.97
56,61351.86095,6.24,65.508684,1820.134685,67.85
57,58605.55471,6.24,207.1219343,1321.09932,66.28
58,55573.30929,6.24,232.9535978,934.3763148,59.3
59,52365.39939,6.24,235.2003383,725.9214805,52.99
60,49273.12221,6.24,232.0441573,596.633548,48.34
61,46785.43518,6.24,232.4548443,532.5944927,45.95
62,44595.06254,6.24,236.8010105,512.7011557,44.75
63,43241.16479,6.24,225.9391922,452.435529,44.98
64,43164.50219,6.24,159.2191072,326.1481812,48.05
65,45729.56991,6.24,27.876005,198.4459643,55.25
66,49544.06319,6.17375,0.0,186.1887075,68.8
67,50707.82226,6.1075,0.0,211.0981185,65.28
68,51398.17648,6.04125,0.0,369.832944,64.97
69,51088.64927,5.9750000000000005,0.0,620.7187958,58.94
