,WIND,SOLAR,GAS,COAL,NUCLEAR,HYDRO,NGPRICE
2018-01-31,20840.5,1224.1,59216.9,15245.6,5020.0,529.1,11.141641791044783
2018-02-28,21037.2,1224.1,59216.9,14037.6,5020.0,529.0999999999999,5.431343283582089
2018-03-31,21037.2,1226.7,59216.9,14037.6,5020.0,529.1,4.601641791044775
2018-04-30,21336.3,1229.5,55513.2,13969.6,4960.0,529.1,4.992089552238804
2018-05-31,21336.300000000003,1611.5000000000002,55518.2,13969.6,4960.0,529.0999999999999,5.333731343283582
2018-06-30,21336.3,1611.5,55518.2,13969.6,4960.0,529.1,6.017014925373133
2018-07-31,21486.3,1611.5,56078.4,13969.6,4960.0,529.1,5.772985074626866
2018-08-31,21486.3,1611.5,56078.4,13969.6,4960.0,529.0999999999999,6.065820895522388
2018-09-30,21646.3,1611.4999999999998,56078.4,13969.6,4960.0,529.1000000000001,5.675373134328358
2018-10-31,21647.2,1608.7,59777.9,14037.6,5020.0,529.0999999999999,7.237164179104479
2018-11-30,21650.2,1713.7000000000005,59896.9,14037.6,5020.0,529.0999999999999,9.726268656716423
2018-12-31,22299.6,1930.7,59896.9,14037.6,5020.0,529.1,10.067910447761198
2019-01-31,22400.4,1940.6,60726.3,14059.6,5020.0,523.0999999999999,11.03679310344828
2019-02-28,22700.4,1940.6,60726.3,14059.6,5020.0,523.1,8.46589655172414
2019-03-31,22899.9,1940.6,60726.3,14059.6,5020.0,523.1,8.398241379310347
2019-04-30,22899.000000000004,1955.1000000000004,57087.09999999999,13991.6,4960.0,523.0999999999999,6.233275862068967
2019-05-31,22929.2,1955.1,57098.100000000006,13991.6,4960.0,523.1,5.827344827586208
2019-06-30,23695.3,1955.1,57122.7,14036.6,4960.0,523.1,4.474241379310344
2019-07-31,23695.3,1955.1,57222.7,14036.6,4960.0,523.0999999999999,4.474241379310344
2019-08-31,23858.2,1965.1,57222.7,14036.6,4960.0,523.0999999999999,4.203620689655171
2019-09-30,24775.3,1965.1,57292.7,14036.6,4960.0,523.1,5.962655172413794
